ID,online-retailer,title,Galileo,Beidou,fast charging,thermal camera,operating system,notification diode,auto focus,number of ratings,memory card slot,in-display fingerprint reader,removable battery,colour,number of front camera lenses,5G,reverse wireless charging,face unlock,configuration cards,resolution total,resolution height,3.5mm jack,processor manufacturer,SIM card type,wide angle lens,Bokeh effect,hybrid zoom,without fingerprint reader,brand,macro mode,rear cam resolution,width,optical zoom,NFC,display size,GPS,warranty,display refresh rate,weight,Bluetooth,connector,resolution width,A-GPS,GLONASS,cutout shape,maximum memory card size,body fingerprint reader,rating,Wi-Fi,4G/LTE,flash diode,infrared,depth,volume,number of rear camera lenses,price,degree of protection,number of cores,battery type,charging power,length,front cam resolution,night mode,RAM,processor model,processor frequency,battery capacity,wireless charging,telephoto,FM-radio,internal memory,system superstructure
35,DatArt,Mobilní telefon Samsung Galaxy S23 5G 8 GB / 128 GB (SM-S911BZGDEUE) zelený,True,True,True,False,Android 13.0,False,True,7,False,True,False,green,1,True,True,True,"Dual SIM (2x SIM), or Single SIM + eSIM",2592000,1080,False,Qualcomm,nano SIM  + eSIM,True,False,False,False,Samsung,False,50.0,7.1,True,True,6.1,True,24,120,200.0,True,USB-C,2400,False,True,bullet hole,,False,4.9,True,True,True,False,0.8,82.928,3,19429,IP68,8,Li-Ion,25,14.6,12.0,True,8,Snapdragon 8 Gen 2,3.36,3900,True,True,False,128,Samsung One UI
36,DatArt,Mobilní telefon Aligator A830 Senior + stojánek (A830R) červený,False,False,False,False,Custom operating system,False,False,188,True,False,True,red,0,False,False,False,Dual SIM + Memory Card (2x SIM + Memory Card),153600,320,True,other,micro SIM,False,False,False,False,Aligator,False,2.0,6.4,False,False,3.5,False,24,,100.0,True,micro USB,480,False,False,other,32,False,4.2,False,False,False,False,1.4,136.19199999999998,1,1290,No protection,0,Li-Ion,,15.2,,False,,other,,2000,False,False,True,,other
37,DatArt,Mobilní telefon Aligator A830 Senior + stojánek (A830B) černý,False,False,False,False,Custom operating system,False,False,96,True,False,True,black,0,False,False,False,Dual SIM + Memory Card (2x SIM + Memory Card),153600,320,True,other,micro SIM,False,False,False,False,Aligator,False,2.0,6.4,False,False,3.5,False,24,,100.0,True,micro USB,480,False,False,other,32,False,4.1,False,False,False,False,1.4,136.19199999999998,1,1290,No protection,0,Li-Ion,,15.2,,False,,other,,2000,False,False,True,,other
38,DatArt,Mobilní telefon Motorola Moto G54 5G Power Edition 12 GB / 256 GB - Mint Green (PB0W0005RO),True,False,True,False,Android 13.0,False,True,21,True,True,False,green,1,True,False,True,Single SIM + eSIM + Memory Card,2592000,1080,True,MediaTek,nano SIM  + eSIM,True,False,False,False,Motorola,True,50.0,7.4,False,True,6.5,True,24,120,200.0,True,USB-C,2400,True,True,bullet hole,1,False,4.9,True,True,True,False,0.9,107.22600000000001,2,4989,IP52,8,other,30,16.1,16.0,True,12,Dimensity 7020,2.2,6000,False,False,True,256,pure Android
39,DatArt,Mobilní telefon Xiaomi Redmi Note 13 Pro+ 5G 12 GB / 512 GB (50815) bílý,True,True,True,False,Android 13.0,False,True,5,False,True,False,white,1,True,False,True,Dual SIM (2x SIM),3308640,1220,False,MediaTek,nano SIM,True,False,False,False,Xiaomi,True,200.0,7.4,False,True,6.67,True,24,120,200.0,True,USB-C,2712,False,True,bullet hole,,False,5.0,True,True,True,True,0.9,107.22600000000001,3,12499,IP68,8,Li-Pol,120,16.1,16.0,True,12,Dimensity 7200 Ultra,2.8,5000,False,False,False,512,MIUI
40,DatArt,Mobilní telefon Apple iPhone 15 Pro Max 512GB Black Titanium (MU7C3SX/A),True,True,True,False,iOs 17,False,True,0,False,False,False,black,1,True,False,True,Single SIM + eSIM,3606840,1290,False,Apple,nano SIM  + eSIM,True,True,False,False,Apple,False,48.0,7.7,False,True,6.7,True,24,120,200.0,True,USB-C,2796,False,True,rectangle,,False,,True,True,True,False,0.8,98.56,3,40490,IP68,6,Li-Ion,,16.0,12.0,True,,A17 Pro,,,True,False,False,512,without superstructure
41,DatArt,Mobilní telefon Xiaomi Redmi Note 13 Pro 8 GB / 256 GB (53440) zelený,True,True,True,False,Android 13.0,False,True,1,True,True,False,green,1,False,False,True,Hybrid slot (2x SIM or 1x SIM + memory card),2592000,1080,True,MediaTek,nano SIM,True,False,False,False,Xiaomi,True,200.0,7.5,False,True,6.67,True,24,120,200.0,True,USB-C,2400,False,True,bullet hole,1,False,5.0,True,True,True,True,0.8,96.60000000000001,3,6999,IP54,8,Li-Pol,67,16.1,16.0,True,8,Helio G99 Ultra,2.2,5000,False,False,False,256,MIUI
42,DatArt,Mobilní telefon Samsung Galaxy S23 5G 8 GB / 128 GB - lavender (SM-S911BLIDEUE),True,True,True,False,Android 13.0,False,True,7,False,True,False,purple,1,True,True,True,"Dual SIM (2x SIM), or Single SIM + eSIM",2592000,1080,False,Qualcomm,nano SIM  + eSIM,True,False,False,False,Samsung,False,50.0,7.1,True,True,6.1,True,24,120,200.0,True,USB-C,2400,False,True,bullet hole,,False,4.9,True,True,True,False,0.8,82.928,3,19429,IP68,8,Li-Ion,25,14.6,12.0,True,8,Snapdragon 8 Gen 2,3.36,3900,True,True,False,128,Samsung One UI
43,DatArt,Mobilní telefon Infinix Note 30 8 GB / 256 GB (X6833B256IB) modrý,False,False,True,False,Android 13.0,False,False,2,True,False,False,blue,1,False,False,False,Dual SIM + Memory Card (2x SIM + Memory Card),2656800,1080,True,MediaTek,nano SIM,False,False,False,False,Infinix,False,64.0,7.7,False,True,6.78,True,24,120,200.0,True,USB-C,2460,False,False,bullet hole,2,True,5.0,True,True,True,False,0.9,117.117,2,4490,IP53,8,Li-Pol,45,16.9,16.0,False,8,Helio G99,2.2,5000,False,False,True,256,XOS
44,DatArt,Mobilní telefon Motorola Moto G54 5G Power Edition 12 GB / 256 GB - Pearl Blue (PB0W0004RO),True,False,True,False,Android 13.0,False,True,13,True,True,False,blue,1,True,False,True,Single SIM + eSIM + Memory Card,2592000,1080,True,MediaTek,nano SIM  + eSIM,True,False,False,False,Motorola,True,50.0,7.4,False,True,6.5,True,24,120,200.0,True,USB-C,2400,True,True,bullet hole,1,False,4.8,True,True,True,False,0.9,107.22600000000001,2,4989,IP52,8,other,30,16.1,16.0,True,12,Dimensity 7020,2.2,6000,False,False,True,256,pure Android
